Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Unit_Price,Estd_Cat
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,9.634344370860928,2
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,6.799897727272727,2
FDF32,16.35,Low Fat,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.4260000000002,12.014837920489295,1
FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,6.262377777777778,2
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,9.77535593220339,3
FDP49,9.0,Regular,0.06919637599999999,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,6.040155555555556,2
DRI11,8.127275699319224,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.6679999999997,13.93866828087167,1
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,17.268554307116105,3
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,13.308880636604773,1
FDW12,8.279201305509288,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,17.458737221888153,1
NCB30,14.6,Low Fat,0.025698133999999997,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,13.459479452054795,3
FDC37,15.605053997053345,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,6.901212903225807,1
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,11.914873646209386,2
NCD06,13.0,Low Fat,0.099887103,Household,45.906000000000006,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908,3.5312307692307696,3
FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,5.534493132766515,3
DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,3.3576309012875534,1
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,7.680776371308017,2
FDC14,15.409109723791342,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,2.832441379310345,1
FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,2.8984727272727273,2
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,5.185139784946236,3
FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,13.72551871657754,3
FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174.5028,5.218128851540616,3
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,9.992788571428571,2
NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,14.671019999999999,2
FDV20,20.267258004368443,Regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,6.318950495049505,1
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,13.84619209039548,3
FDX10,6.607009913201535,Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,5.5982056158406985,1
FDB34,15.522377422536339,Low Fat,0.026480953999999998,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,5.644740983606558,1
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,17.276044943820224,2
FDK43,9.8,Low Fat,0.02681843,Meat,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,12.85734693877551,1
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,14.184823529411766,2
FDC02,21.35,Low Fat,0.06910283099999999,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,12.174604215456673,3
FDL50,12.15,Regular,0.042277867000000004,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,10.411901234567901,1
FDM39,6.42,Low Fat,0.08949892599999999,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,358.2004,27.74146417445483,2
NCP05,19.6,Low Fat,0.0,Health and Hygiene,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428.8384,7.821551020408163,3
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815.0972,26.52226,3
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,3.8247318611987384,2
FDS02,10.285303412203222,Regular,0.25539489600000004,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,19.141817417501574,1
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,19.469715832205686,2
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,13.880863168219715,1
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,11.82912582112178,1
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121.2704,18.02472693896283,3
NCP18,12.15,Low Fat,0.028760012999999997,Household,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815.0656,12.466732510288065,3
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,31.50421252371916,3
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244,11.545644371941272,3
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,4.548786610878661,2
FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,12.881523178807948,2
FDI26,6.003838141966481,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,29.986551226551224,1
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,24.69144,3
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168,10.960025094102885,3
FDF09,6.3774137626039265,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,6.003185840707965,1
FDY40,16.0622015880134,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,3.1794645161290322,1
FDY45,17.620530246499605,Low Fat,0.026015518999999997,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,14.519177142857142,1
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,10.476079096045199,2
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,8.918542635658914,3
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118.5439999999999,13.628131868131868,3
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364,9.366624999999999,3
NCI17,8.645,Low Fat,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,11.08629265471371,2
FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,10.90874358974359,2
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,3.7364037854889594,1
FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604.6728,9.027539726027397,3
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285.0256,24.13988542329726,3
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,32.50732268370607,2
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003,13.589702026221692,2
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,13.411844357976653,2
FDN48,13.029618766738002,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,6.90583520599251,1
FDL04,19.0,Low Fat,0.11255650699999999,Frozen Foods,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587.933,5.524326315789473,3
FDV25,5.905,Low Fat,0.0,Canned,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305.0944,37.68765453005927,3
FDD58,7.76,Low Fat,0.05935224099999999,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,13.12757731958763,2
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,15.28257627118644,2
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,11.221229850746269,3
NCL18,18.909687250735498,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,10.291740810913224,1
FDR12,12.570659531809957,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,13.63304761904762,1
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392,11.419535483870968,3
FDZ55,6.055,Low Fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004,26.588274153592078,3
FDQ49,20.106534003880324,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,7.756831683168317,1
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,15.169484536082475,2
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,5.6249784172661865,2
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,1998,Small,Tier 3,Grocery Store,369.519,5.887855421686746,2
DRG27,8.895,Low Fat,0.10527411099999999,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,4.487217537942665,2
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535,2.814357142857143,3
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,2.9387309644670054,3
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,11.68869387755102,3
FDU04,7.799131162380449,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,15.391637542785086,1
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,20.250699588477364,2
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,21.423497142857144,3
NCP18,12.121134536721431,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,12.372670194003527,1
FDB56,8.75,Regular,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,21.46921142857143,2
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805.6496,11.358706766917292,3
FDD10,20.660755218544644,Regular,0.045797829000000005,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,8.641233009708737,1
FDW57,8.31,Regular,0.11585722300000001,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,21.552683513838748,2
DRB48,16.75,Regular,0.024832806000000002,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,2.315355223880597,1
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,10.73874430379747,3
FDH14,17.1,Regular,0.046769599999999995,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,8.256362573099414,1
FDA47,10.5,Regular,0.11657670199999999,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001,15.535333333333334,1
FDG12,6.635,Regular,0.0,Baking Goods,121.3098,OUT045,2002,Medium,Tier 2,Supermarket Type1,2530.7058,18.283315749811607,3
DRE60,9.382510634903753,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.1160000000001,24.020436402341677,1
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.2760000000001,2.9267703180212017,1
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,17.48345864661654,2
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Medium,Tier 2,Supermarket Type1,2732.4432,11.518740157480314,3
FDW39,6.707057913614035,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,26.380717488789234,1
FDX34,6.226425606658074,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,19.54729851262539,1
FDV11,9.1,Regular,0.0,Breads,173.2054,OUT045,2002,Medium,Tier 2,Supermarket Type1,3151.8972,19.03356043956044,3
FDD17,7.5,Low Fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,31.878746666666665,2
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843.695,11.421234421364984,3
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,14.565504342017368,3
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Medium,Tier 2,Supermarket Type1,2552.6772,12.096155172413795,3
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,19.490935622317597,3
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,680.4476,3.6541076923076923,3
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085.9514,12.573739130434781,3
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,186.424,4.568493827160494,2
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,22.11081395348837,3
FDW11,12.6,Low Fat,0.049058014000000004,Breads,62.7194,OUT017,2007,Medium,Tier 2,Supermarket Type1,866.8716,4.977730158730159,3
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999,5.36954802259887,3
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,5.825272084805653,2
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Medium,Tier 2,Supermarket Type1,928.1252,2.7426285714285714,3
DRG23,8.88,Low Fat,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,17.091013513513513,1
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Medium,Tier 2,Supermarket Type1,707.0796,1.9649853658536587,3
FDY25,11.964981001404546,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,15.093847619047619,1
NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,11.873481481481482,2
NCR53,12.113568685216562,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,18.52801646090535,1
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,11.44,2
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0939999999999,23.999847231063015,3
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,16.03997235659986,2
FDH35,18.345635308563516,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,9.018635616438356,1
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.2892,8.755086705202313,3
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,535.3032,9.765290322580645,3
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,263.6568,7.142075675675676,2
NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,19.27645885286783,3
NCX54,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1693.7952,11.43688961392061,3
NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,2002,Medium,Tier 2,Supermarket Type1,2143.876,8.249515624999999,3
NCC30,16.6,Low Fat,0.027622076000000002,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.5159999999996,10.700867469879517,2
FDI16,14.0,Regular,0.0,Frozen Foods,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,3.7902857142857136,3
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,13.246247311827956,2
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,14.177525,3
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,9.130227272727272,3
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,8.387623529411764,3
NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,16.24729785763649,3
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Medium,Tier 2,Supermarket Type1,1034.6532,3.449945205479452,3
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52100000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.3310000000001,11.662166064981951,3
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,14.479311355311355,3
DRK12,9.159694938756644,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,3.4160526315789475,1
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,30.709029192124913,2
NCI18,18.35,Low Fat,0.014081156000000001,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,12.183901907356947,3
FDB36,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,24.25665141811528,3
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910.1802,5.367516129032258,3
DRD24,13.85,Low Fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848,10.174397111913358,3
FDQ28,14.0,Regular,0.06037677599999999,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,11.0404,1
FDM22,14.0,Regular,0.04192285,Snack Foods,54.763999999999996,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,3.9117142857142855,1
FDR07,21.42730753553198,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,4.527372365339579,1
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,37.68765453005927,3
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,15.715515818431914,2
FDW51,6.155,Regular,0.09465987099999999,Meat,214.55599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,34.858813972380176,2
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Medium,Tier 2,Supermarket Type1,5375.0034,11.97414358974359,3
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,Medium,Tier 2,Supermarket Type1,2838.9712,14.268578947368422,3
FDL50,12.15,Regular,0.042485444000000004,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,10.288444444444444,3
NCB30,14.667453099738475,Low Fat,0.025578526,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352,13.554391389432485,1
FDW11,12.6,Low Fat,0.048980800000000005,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,4.914238095238096,3
NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,11.366965517241379,3
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,Medium,Tier 2,Supermarket Type1,3823.0236,10.426132530120482,3
FDM15,11.8,Regular,0.057373797000000004,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,12.833610169491525,1
FDS31,13.1,Regular,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,13.65128244274809,1
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,Small,Tier 3,Grocery Store,345.5502,6.507536723163843,2
FDR47,17.85,Low Fat,0.0,Breads,196.5794,OUT010,1998,Small,Tier 3,Grocery Store,585.2382,11.012851540616245,2
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,2002,Medium,Tier 2,Supermarket Type1,1010.6844,7.5349918699186995,3
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998,Small,Tier 3,Grocery Store,161.1236,6.903542372881355,2
DRY23,9.225990504313435,Regular,0.191013663,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112,4.5644096403862235,1
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,2002,Medium,Tier 2,Supermarket Type1,3010.7476,14.185621621621621,3
FDQ28,13.877603040107346,Regular,0.060134441,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584,11.029685714285714,1
FDV39,11.3,Low Fat,0.0072946519999999996,Meat,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,988.7130000000001,17.534743362831858,3
